id,Target_Index,ANVITA,GPT4-5shot,HW-TSC,IOL_Research,Lan-BridgeMT,NLLB_Greedy,NLLB_MBR_BLEU,ONLINE-A,ONLINE-B,ONLINE-G,ONLINE-M,ONLINE-W,ONLINE-Y,refA,synthetic_ref,Yishu,ZengHuiMT
38,1640,"The outside of the pot does not feel any heat, so it is not necessary to heat the pot to prevent it from spreading.","The outside of the pot does not feel hot to the touch, ensuring it won't burn anyone and effectively preventing heat from escaping.","There is no trace of heat on the outside of the pot, even if you are not afraid of being scalded, it can effectively protect the temperature from escaping.","The outside of the pot can not feel a trace of heat, that is not afraid of hot people can also effectively protect the temperature does not dissipate.","The outside of the pot doesn't feel hot at all, so it's not only safe from burns but also effectively keeps the temperature from dissipating.","The outer surface of the pump does not absorb any heat, which means that it can effectively protect the temperature without being exposed to the heat.","The outside of the coating cannot be heated, so it can effectively protect the surface from the heat, regardless of the heat.","The outside of the pot can not feel a trace of heat, that is, it is not afraid of scalding people, and it can effectively protect the temperature from dispersion.","There is no trace of heat on the outside of the pot, even if you are not afraid of being scalded, it can effectively protect the temperature from escaping.","There is not a trace of heat on the outside of the pot, which can effectively protect the temperature from spreading even if it is not afraid of being scalded.","The outside of the pot can not touch a trace of heat, that is, not afraid to burn to people can also effectively protect the temperature from dissipation.","The outside of the pot can not feel a trace of heat, that is, not afraid of scalding people can also effectively protect the temperature does not spread.","The outside of the pot doesn't touch a hint of heat, so even if you're not afraid of getting burned, it can effectively protect the temperature from scattering.","Even if you are not concerned about getting burned, there is no sign of heat on the outside of the pot, which successfully keeps the heat from escaping.","Even if you are not concerned about getting burned, there is no sign of heat on the outside of the pot, which successfully keeps the heat from escaping.","There is no trace of heat on the outside of the pot, even if you are not afraid of being scalded, it can effectively protect the temperature from escaping.","There is no trace of heat on the outside of the pot, that is, it can effectively protect the temperature from being scalded."
39,1742,I was amazed that the sound quality was 3D!,"I was astonished, the sound quality was actually 3D surround!","I was shocked, the sound quality turned out to be surround 3D!",I was amazed that the sound quality was surround 3D!,"I was astonished, the sound quality was actually 3D surround!",I was amazed that the sound was surrounded by 3D!,I was shocked to hear that the sound was surrounded by 3D!,I was shocked that the sound quality turned out to be surround 3D!,"I was shocked, the sound quality turned out to be surround 3D!","I was shocked, the sound quality turned out to be surround 3D stereo!",I was amazed that the sound was in 3D!,I was stunned that the sound quality was even surround 3D!,I was stunned; the sound quality was 3D surround!,I was astounded to discover that the sound quality was surround 3D!,I was amazed that the sound quality was even surround 3D stereo.,"I was shocked, the sound quality turned out to be surround 3D!",I was amazed that the sound quality was even surround 3D stereo.
40,487,"European Union Summit on Refugee Policy Debate, EU Officials: Bottlenecks in the Acceptance Process - China.com","EU summit debates refugee policy, EU official: reception process bottlenecked - China News Network.","EU summit debates on refugee policy, EU officials: bottlenecks in the admission process-Chinanews.com","EU summit to debate refugee policy, EU officials: Reception process step by step bottleneck - China News","EU Summit Argues Over Refugee Policy, EU Official: Bottlenecks at Every Step of the Reception Process - China News Network",EU officials: Reception process is a bottleneck - China News Network,"EU summit debates on refugee policy, EU officials: Reception process is at a standstill","EU summit debates refugee policy, EU officials: step-by-step bottleneck in the reception process - Chinanews.com","EU summit debates on refugee policy, EU officials: bottlenecks in the admission process-Chinanews.com","The EU summit is in a difficult policy debate, EU officials: The receiving process is a bottleneck step by step- <url>","EU summit for refugee policy debate, EU officials: reception process step by step bottlenecks","EU summit argues over refugee policy, EU official: reception process bottlenecks at every step - CNN.com","EU summit debates refugee policy, EU officials: The acceptance process is a bottleneck step by step. -Xinhua","EU faces admission obstacles in refugee policy talks, says Chinanews com","EU Summit Argues Over Refugee Policy, EU Official: Bottlenecks at Every Step of the Reception Process - China News Network","EU summit debates on refugee policy, EU officials: bottlenecks in the admission process-Chinanews.com","EU Summit Debates on Refugee Policy, EU officials Debate on Refugee Policy. Reception process bottlenecks - Chinanews.com."
41,1545,What Is The National Debt Limit,Where is the product's anti-counterfeit label?,Where is the product anti-counterfeiting mark,Where is the product security mark,Where is the product's anti-counterfeit label?,Where is the anti-counterfeiting logo?,Where is the anti-counterfeiting logo?,Where is the product security mark,Where is the product anti-counterfeiting mark,Where is the anti-counterfeiting mark of the product?,Where is the anti-counterfeiting product?,Where is the product security marking,Where is the product security label,Where is the security seal for the product,Where is the product's anti-counterfeit label?,Where is the product anti-counterfeiting mark,Where is the product anti-counterfeiting label?
42,494,"But diplomats from some member states say that if the EU could share the cost of installing cameras, watchtowers, and other infrastructure along the external border, it would free up national budgets and thus speed up the construction process.","However, diplomats from some member countries said that if Europe could share the cost of installing cameras, watchtowers, and other infrastructure along the external borders, it would free up national budgets and speed up the construction process.","But diplomats in some member states said if the EU shared the cost of installing cameras, watchtowers and other infrastructure along its external borders, it would free up national budgets and speed up the process.","But diplomats from some member states say that if the EU could share the cost of installing cameras, watchtowers and other infrastructure along its external borders, it would free up national budgets to speed up the construction process.","But some member states' diplomats said that if the EU could share part of the cost of installing cameras, watchtowers, and other infrastructure along the external border, it would free up national budgets and speed up the construction process.","But diplomats from some member states say that if the EU can share the cost of installing cameras, watchtowers and other infrastructure along the external border, it will free up national budgets and speed up the construction process.","But diplomats from a number of member states say that if the EU were to share the cost of installing cameras, observation towers and other infrastructure along the external border, it would free up national budgets and speed up construction.","But diplomats in some member states say that if the EU can share the installation of cameras, watchtowers and other infrastructure along external borders, it will free up national budgets to speed up the construction process.","But diplomats in some member states said if the EU shared the cost of installing cameras, watchtowers and other infrastructure along its external borders, it would free up national budgets and speed up the process.","But diplomats from some member states said that if the EU can share the cost of installing cameras, watchtowers and other infrastructure along its external borders, it will free up national budgets for countries to speed up the construction process.","But diplomats from some member states say that if the EU were to share the cost of installing cameras, watchtowers and other infrastructure along its external borders, it would free up national budgets to speed up the construction process.","But diplomatic officials from some member states say that if the EU were to share the portion of the installation of cameras, watchtowers and other infrastructure along the external borders, it would free up national budgets for countries to speed up the construction process.","However, diplomats from some member states say that if the EU can share the part of installing cameras, observation towers, and other infrastructure along the external border, this will free up national budgets for countries and thus speed up the construction process.","The installation of cameras, watchtowers, and other infrastructure along the EU's external borders would free up national funds and move along more quickly, according to diplomats in several member states.","But diplomats from some member states say that if the EU could share the cost of installing cameras, watchtowers, and other infrastructure along the external border, it would free up national budgets and thus speed up the construction process.","But diplomats in some member states said if the EU shared the cost of installing cameras, watchtowers and other infrastructure along its external borders, it would free up national budgets and speed up the process.","But diplomats from some member states say that if the EU shared the cost of installing cameras, watchtowers and other infrastructure along the external border, it would free up national budgets and speed up the construction process."
43,1451,"The question of the price is not really the most important, the key is how to replace a blank book on the kindle with a book with actual content, instead of downloading it forever.","The issue of price is not the most important, the key is how to replace the blank books on Kindle with books of actual content, rather than always downloading ""coming soon"".","1. The price issue is actually not the most important thing. The key is how to replace the blank books on the kindle with books with actual content, instead of downloading them forever and saying ""stay tuned""","1. The issue of price is not the most important, the key is now how to replace the blank book on the kindle with a book with actual content, rather than forever download is ""stay tuned""","1. The issue of price is not the most important thing, the key is how to replace the blank book on the Kindle with a book with actual content, instead of always downloading ""please look forward to it""","The price is not the most important issue, the key is how to replace the blank books on the Kindle with books with real content, instead of downloading them forever.","1. The price is not the most important thing, the key is now how to replace the blank books on the Kindle with books with real content, instead of downloading them forever.","1. The issue of price is not the most important, the key is how to replace the blank book on the Kindle with a book with actual content, instead of downloading it forever is ""stay tuned""","1. The issue of price is not the most important issue. The key is how to replace the blank books on Kindle with books with actual content, instead of downloading them forever and saying ""stay tuned""","1. The issue of price is actually not the most important. The key is how to replace blank books on kindle with books with actual content, rather than downloading them forever“ ""Stay tuned”","The question of price is not the most important, the key is now how to replace the blank book on Kindle with the actual content of the book, instead of forever downloading it is ""please look forward""","1. the price is not really the most important issue, the key is how to replace the blank books on kindle with books with actual content now, instead of downloading them forever with ""stay tuned"".","1. The price issue isn't actually the most important one; the key is how to replace the blank book on the Kindle with the actual content now, rather than the “stay tuned” if you download it forever","1. The price issue is not the most crucial one, the trick is to figure out how to swap out the empty books on Kindle with books that have actual substance rather than just downloading them indefinitely and saying ""stay tuned""","The issue of price is not the most important, the key is how to replace the blank books on Kindle with books of actual content, rather than always downloading ""coming soon"".","1. The price issue is actually not the most important thing. The key is how to replace the blank books on the kindle with books with actual content, instead of downloading them forever and saying ""stay tuned""","1. The issue of price is actually not the most important, the key is how to replace the blank book on the kindle with a book with actual content, instead of downloading it forever and saying ""stay tuned"" are all ""stay tuned""."
44,1958,"As a result, there are still many things that need to be done, and it is important to be careful when buying.","In conclusion, this product has many shortcomings, so please be cautious when purchasing.","To sum up, this product still has many deficiencies, and I hope you will be cautious when buying it.","To sum up, this product still has many shortcomings, I hope you should be careful when buying.","In summary, this product has many shortcomings, so please be careful when buying.","In summary, there are many shortcomings in this product, so please be careful when buying.","All in all, there are many deficiencies of this product, so please be careful when you buy.","To sum up, this product still has many shortcomings, I hope you should be cautious when buying.","To sum up, this product still has many deficiencies, and I hope you will be cautious when buying it.","In summary, there are still many shortcomings in this product. I hope you should be careful when buying it.","In summary, there are many shortcomings in this product, I hope everyone to be careful when buying.","To summarize, this product has many shortcomings and I hope you will be careful when buying it.","In summary, there are still many shortcomings in this product, so I hope everyone should be careful when buying it.","To summarize, this product still has numerous flaws, and I hope you would be cautious while purchasing it.","To summarize, this product still has numerous flaws, and I hope you would be cautious while purchasing it.","To sum up, this product still has many deficiencies, and I hope you will be cautious when buying it.","To sum up, this product still has many shortcomings. I hope you will be careful when buying it."
45,356,"In West, Central and North Africa, the opioid crisis was exacerbated by tramadol and in North America by fentanyl, two regions that had little in common in terms of economy, demographics or general patterns of drug use but were struggling to combat the opioid crisis fuelled by easily available and low-cost substances.","In West Africa, Central Africa, and North Africa, the opioid crisis is exacerbated by Tramadol; in North America, it is Fentanyl. These two regions have almost no commonalities in terms of economy, demographic data, or general drug use patterns, but both are struggling to combat the opioid crisis fueled by easily accessible and low-cost substances.","In West, Central and North Africa, it is tramadol that is fueling the opioid crisis; in North America it is fentanyl. The two regions, which have little in common in terms of economics, demographics or general drug use patterns, are struggling to combat an opioid crisis fueled by readily available and cheaply produced substances.","In West, Central and North Africa, it is tramadol that is exacerbating the opioid crisis; in North America, it is fentanyl. The two regions have little in common in terms of economics, demographics or general patterns of drug use, but both are struggling to combat an opioid crisis fuelled by substances that are easily available and cheap to produce.","In West Africa, Central Africa, and North Africa, the opioid crisis is exacerbated by Tramadol; in North America, it is Fentanyl. These two regions have little in common in terms of economy, demographic data, or general drug use patterns, but both are struggling to combat the opioid crisis fueled by easily accessible and low-cost substances.","In West, Central and North Africa, the opioid crisis is exacerbated by Kumamoto; in North America, it is Fentanyl. The two regions have little in common in terms of economics, demographics or general patterns of drug use, but are struggling to combat the opioid crisis fueled by the availability and low cost of the substance.","In West Africa, Central Africa and North Africa, Kumamoto is the acute opioid crisis; in North America, it is Fentanyl. The two regions have little in common in terms of economics, demographics or general patterns of drug use, but all are working hard to combat a opioid crisis fueled by the easy availability and low-cost production of the drug.","In West, Central and North Africa, it is tramadol that exacerbates the opioid crisis; In North America, it's fentanyl. The two regions have little in common economically, demographically, or general drug use patterns, but both struggle with the opioid crisis fuelled by readily available and low-cost substances.","In West, Central and North Africa, it is tramadol that is fueling the opioid crisis; in North America it is fentanyl. The two regions, which have little in common in terms of economics, demographics or general drug use patterns, are struggling to combat an opioid crisis fueled by readily available and cheaply produced substances.","In West Africa, Central Africa, and North Africa, tramadol is exacerbating the opioid crisis; in North America, it is fentanyl.The two regions have little in common in terms of economy, demographic statistics, or general drug abuse patterns, but they are both struggling to combat the opioid crisis driven by easily available and low-cost substances.","In West, Central and North Africa, the opioid crisis is exacerbated by tramadol; in North America, fentanyl.The two regions have little in common in terms of economics, demographics or general patterns of drug use, but both are struggling to fight the opioid crisis fuelled by substances that are readily available and cheap to produce.","In West, Central and North Africa, it is tramadol that fuels the opioid crisis; in North America, it is fentanyl. The two regions have little in common in terms of economies, demographics or general patterns of drug use, but both are struggling to combat the opioid crisis, which is fuelled by substances that are readily available and cheap to produce.","In West Africa, Central Africa, and North Africa, it is tramadol that is exacerbating the opioid crisis; in North America it is fentanyl. The two regions have little in common in terms of economies, demographics, or general drug use patterns, yet they are struggling to fight the opioid crisis fueled by substances that are easily available and low in production costs.","In West, Central and North Africa, it is tramadol that is fueling the opioid crisis; in North America it is fentanyl. The opioid problem is being exacerbated by easily accessible and inexpensively produced drugs in the two locations, which have little in common in terms of economics, demographics, or overall drug usage trends.","In West, Central and North Africa, it is tramadol that is fueling the opioid crisis; in North America it is fentanyl. The two regions, which have little in common in terms of economics, demographics or general drug use patterns, are struggling to combat an opioid crisis fueled by readily available and cheaply produced substances.","In West, Central and North Africa, it is tramadol that is fueling the opioid crisis; in North America it is fentanyl. The two regions, which have little in common in terms of economics, demographics or general drug use patterns, are struggling to combat an opioid crisis fueled by readily available and cheaply produced substances.","In West, Central and North Africa, the opioid crisis was exacerbated by tramadol. In North America it is fentanyl. The two regions have little in common in terms of economics, demographics, or general patterns of drug use, but both are struggling to combat an opioid crisis fueled by substances that are easily available and inexpensive to produce."
46,1508,"""'복면가왕' 동방신기, 3 주연속 1 위... 이상수상수상, 이상수상수상.""","Three stars is blaming myself for not carefully checking the product specifications. I have no objection to you selling M size e-commerce version, but what do you mean by delivering the wrong version?",The three stars are because I was sloppy and didn't read the product specifications clearly. I have no problem with you selling the M-size e-commerce version. What does it mean that your product is not the right version?,"Three stars is to blame for their own sloppy did not see clearly the product specifications, you sell M code e-commerce version I have no opinion, you goods are not the right version is a few meanings?","Three stars because I blame myself for not paying attention to the product specifications. I have no objections if you sell the M size e-commerce version, but what do you mean by delivering the wrong version?","Three stars is the fault of Mahou for not reading the specifications, you sold the M-code e-commerce version, I have no objection, what do you mean by the wrong version?","3 Stars for the fact that Maharashtra did not read the product specification, and you sold the M-code eCommerce version I have no objection, what do you mean by your version is not correct?","Three stars is to blame yourself for not seeing the product specifications clearly, you sell the M code e-commerce version I have no opinion, how many meanings do you mean if the goods are not right?",The three stars are because I was sloppy and didn't read the product specifications clearly. I have no problem with you selling the M-size e-commerce version. What does it mean that your product is not the right version?,The three stars are to blame for being sloppy and not seeing the product specifications clearly. I have no problem with you selling the M-code e-commerce version. What does it mean that your goods are not in the right version?,"Three stars is to blame for their sloppy do not see the product specifications, you sell M code e-commerce version I have no opinion, you are not the right version is how many mean?","Three stars is to blame for being sloppy and not reading the item specs, I have no problem with you selling a size M e-commerce version, what do you mean the item is not the right size?",The three stars are blaming you for not being able to read the product specifications clearly. I have no opinion if you sell the M size e-commerce version. What do you mean by the wrong edition?,"I only gave it three stars because I was careless and didn't carefully read the product details, I have no issue with you offering the M-size online version for sale, what does it signify that the edition of your product is incorrect?",The three stars are because I was sloppy and didn't read the product specifications clearly. I have no problem with you selling the M-size e-commerce version. What does it mean that your product is not the right version?,The three stars are because I was sloppy and didn't read the product specifications clearly. I have no problem with you selling the M-size e-commerce version. What does it mean that your product is not the right version?,The three stars blame themselves for not seeing the product specifications clearly. I have no problem with you selling the M-size e-commerce version. What does it mean that your product is not the right version?
47,1684,"""What do you mean?""",Then there was some discussion about a transfer issue.,"Later, I will talk about the transit problem.",What about the transit problem later.,Then they mentioned some issue with the transit.,What's next for the mediation issue?,What's next on the transfer question?,"Later, what about the transit problem.","Later, I will talk about the transit problem.",What transit issues will be mentioned later.,Then there is the question of transference.,"Later on, it says something about transit problems.",I'll talk about transit issues later.,"About the transit issue, I'll speak later.",Then they mentioned some issue with the transit.,"Later, I will talk about the transit problem.","Later on, I will talk about the transit problem."
48,918,"At the closing ceremony, 10 representatives of the workshop made presentations and reported on the learning outcomes.","At the graduation ceremony, ten representatives from the workshop spoke, sharing their learning experiences and gains.","At the closing ceremony, 10 representatives of the seminar made speeches and reported and exchanged their learning achievements.","At the closing ceremony, 10 representatives of the seminar spoke and reported on their learning gains.","At the closing ceremony, 10 representatives of the seminar spoke, reporting on what they had learned.","At the closing ceremony, 10 representatives of the workshop spoke and shared their learning.","On the closing ceremony, 10 representatives of the workshop gave presentations and shared knowledge on the results of the seminar.","At the closing ceremony, 10 representatives of the seminar made speeches and shared their learning gains.","At the closing ceremony, 10 representatives of the seminar made speeches and reported and exchanged their learning achievements.","At the closing ceremony, 10 representatives of the seminar spoke and reported and exchanged their learning gains.","At the closing ceremony, 10 representatives of the workshop spoke and reported on the learning and harvest.","At the closing ceremony, 10 representatives of the seminar made speeches and reported and exchanged their learning gains.","At the graduation ceremony, 10 seminar delegates spoke and shared their learning gains.","At  the closing ceremony, 10 representatives from the seminar delivered speeches, sharing their learning achievements and experiences.","At  the closing ceremony, 10 representatives from the seminar delivered speeches, sharing their learning achievements and experiences.","At the closing ceremony, 10 representatives of the seminar made speeches and reported and exchanged their learning achievements.","At the closing ceremony, 10 representatives of the seminar made speeches and reported and exchanged their learning gains."
49,1088,"According to the Freedom Times, China encourages college students to donate money.","According to a report by the Liberty Times, China is encouraging university students to donate sperm.","According to a signed report by the Free Times, China encourages college students to donate sperm.","China encourages college students to donate sperm, according to an op-ed in the Free Times.","According to a report by the Liberty Times, China is encouraging college students to donate sperm.","According to a report by the Free Times, China encourages university students to donate sperm.","According to the Free Times, China encourages university students to donate sperm.","According to a signed report by the Liberty Times, China encourages college students to donate sperm.","According to a signed report by the Free Times, China encourages college students to donate sperm.","According to a signed report by the Free Times, China encourages college students to donate sperm.","According to the Free Times, China encourages college students to donate sperm.","China is encouraging college students to donate sperm, according to a Liberty Times op-ed.","According to a report signed by the Liberty Times, China encourages college students to donate sperm.","According to a report by Liberty Times, China is encouraging college students to donate sperm.","According to a report by Liberty Times, China is encouraging college students to donate sperm.","According to a signed report by the Free Times, China encourages college students to donate sperm.","China encourages college students to donate sperm, according to a signed report by the Free Times, which encourages college students to donate sperm."
50,884,1. Pay more attention to cybersecurity information and raise individual awareness of prevention;,Pay more attention to cyber security information to improve personal prevention awareness.,1. Pay more attention to network security information and improve personal awareness of prevention;,1. Pay more attention to network security information and raise personal awareness of prevention;,1. Pay more attention to cyber security information to enhance personal prevention awareness;,1. Increased attention to cybersecurity information and awareness of personal security;,1. Increased attention to cybersecurity information and personal safety awareness;,1. Pay more attention to network security information and improve personal awareness of prevention;,1. Pay more attention to network security information and improve personal awareness of prevention;,1. Pay more attention to network security information and raise personal awareness of prevention；,Pay more attention to cybersecurity information and improve personal awareness of prevention;,1. Pay more attention to information on network security and raise your awareness of personal precautions;,1. Pay more attention to cybersecurity information to raise personal awareness of prevention;,1. Pay more attention to network security information and improve personal awareness of prevention;,1. Pay more attention to network security information and improve personal awareness of prevention;,1. Pay more attention to network security information and improve personal awareness of prevention;,1. Pay more attention to network security information and improve personal awareness of prevention.
51,1687,The label is too sticky and not waterproof,The label adhesive is too weak and not waterproof.,The label is too sticky and not waterproof,Labels are too sticky and not waterproof,"The label's adhesiveness is too poor, it's not waterproof.",The label is too sticky and waterproof,"The labels are too sticky, not waterproof",The label is too sticky and not waterproof,The label is too sticky and not waterproof,The label is too sticky and not waterproof,"The label is too bad, not waterproof.",Labels are too sticky and not waterproof,The label has poor adhesiveness and is not waterproof,Label adhesion is inadequate and not watertight,The label has poor adhesiveness and is not waterproof,The label is too sticky and not waterproof,The label is too sticky and not waterproof.
52,1828,"Secondly, the shoe quality control is really not flattering, one shoe has a broken bottom glue, another shoe has various scratches and a needle eye, the top is misaligned with the sole glue, the shoe is clearly shoddy!","Secondly, the quality control of this shoe is really not flattering. One shoe has a damaged sole, the other has various scratches and a pinhole on the surface, and the glue strip at the connection between the shoe surface and the sole is misplaced. It's clearly a case of substituting inferior products for good ones!","Secondly, the quality control of this shoe is really not flattering. One sole has damaged rubber, and the other has various scratches and a pinhole on the upper. The rubber strip at the connection between the upper and the sole is misplaced.","Secondly, the quality control of this shoe is really not flattering, a sole rubber is damaged, another upper has a variety of scratches and a needle eye, the upper and the sole of the joint of the rubber strip misalignment, clearly inferior to good!","Secondly, the quality control of these shoes is really disappointing, one shoe sole is damaged, the other shoe has various scratches and a pinhole, the glue strip at the connection between the shoe upper and the shoe sole is misplaced, it's obviously substituting inferior for good!","Secondly, the taste control of the shoes is really bad, one of the soles is broken, the other has scratches and a pinhole, the soles are connected with the soles of the shoes with the wrong bars, and the soles are perfect!","Secondly, this shoe is a bit of a bad taste control: one toe is broken, the other has scratches, a knob, the toe and the sole have gotten in the wrong place, and everything has been well done.","Secondly, this shoe quality control really does not dare to compliment, one sole glue is damaged, the other upper has various scratches and a needle eye, the upper and the sole connection of the rubber strip is misaligned, obviously shoddy!","Secondly, the quality control of this shoe is really not flattering. One sole has damaged rubber, and the other has various scratches and a pinhole on the upper. The rubber strip at the connection between the upper and the sole is misplaced. !","Secondly, the quality control of this shoe is really not flattering. The rubber on one sole is damaged, and the other upper has various scratches and a needle eye. The rubber strip at the connection between the upper and the sole is misplaced, which is obviously shoddy!","Secondly, this shoe quality control is really afraid to compliment, a shoe soles are damaged, the other shoe has various scratches and a needle eye, the shoe soles and the shoe soles are misplaced, clearly placed in the second place!","Secondly, the quality control of this shoe is really not complimentary, one sole rubber is broken, the other vamp has all kinds of scuff marks and a pinhole, the vamp and the sole of the joint strip misalignment, obvious substandard!","Second, the quality control of this shoe is really unflattering. The sole of one shoe is damaged, the other has various scratches and a needle eye. The rubber strip at the connection between the upper and the sole is misplaced, and the clearly marked one can be refilled again!","Second, this shoe's quality control is actually not admirable, the rubber on one sole has been damaged, while the other sole's upper has numerous scratches and a pinhole, the rubber strip between the top and the sole is not where it should be!","Secondly, the quality control of this shoe is really not flattering. The rubber on one sole is damaged, and the other upper has various scratches and a needle eye. The rubber strip at the connection between the upper and the sole is misplaced, which is obviously shoddy!","Secondly, the quality control of this shoe is really not flattering. One sole has damaged rubber, and the other has various scratches and a pinhole on the upper. The rubber strip at the connection between the upper and the sole is misplaced. !","Secondly, the quality control of this shoe is really not flattering. One sole rubber is damaged, and the other upper has various scratches and a pinhole. The rubber strip at the connection between the upper and the sole is misplaced."
53,1546,"The depression at the bottom of the bottle should have been caused by a strong impact, and the degree of devastation felt in the overpack is heartening, after all, the packaging of the food is too simple, it is international, there is no visible anti-counterfeiting sign, the bottle is easy to open, the key is that a layer of honey in the lid comes out directly from the inside, the opening is almost not sticky, is it the same for foreign products?","The bottom corner of the bottle is severely dented, which must have been caused by a strong impact. Judging from the outer packaging bag, the degree of damage is distressing, especially since it is food packaging and it is too simple, and it is also an international purchase. Moreover, there is no obvious anti-counterfeit identification mark. Opening the bottle is very easy, and the key is that a layer of honey inside the cap directly came out from inside, there is almost no adhesion when opened, is this how all foreign products are?","The corner of the bottom of the bottle is severely dented, which should be caused by a strong impact. Judging from the outer packaging bag, the degree of ravages is worrying. After all, the food packaging is too simple, and it is still purchased internationally. Have you seen any obvious anti-counterfeiting signs? It is very easy to open the bottle. The key is that a layer of honey in the cap comes out directly. There is almost no adhesion when there is an opening. Are all foreign products like this?","The bottom corner of the bottle is badly dented, should have experienced a strong impact in order to cause, from the outer packaging bag, feel the degree of ravage people heart-wrenching, after all, is the food packaging is too simple, but also belongs to the international purchase, and did not see any obvious anti-counterfeiting logo, open the bottle is very easy, the key is a layer of honey inside the lid directly out of the inside, there is almost no adhesion of the opening, foreign products are like this?","The bottom corner of the bottle is severely dented, which should have been caused by a strong impact. Looking at the outer packaging bag, the degree of damage is distressing, especially since it's food packaging and it's too simple. Moreover, it's an international purchase, and I didn't see any obvious anti-counterfeit labels. Opening the bottle was very easy, and the key point is that a layer of honey directly came out from inside the cap. There was almost no stickiness when opened, is this how all foreign products are?","The bottle is so deeply embedded in the bottom, it should have been caused by a strong impact, from the outside of the packaging bag, the degree of friction is disturbing, after all, the packaging of food is too simple, and still belongs to international purchase, and there is no obvious anti-counterfeiting logo, the opening of the bottle is very easy, the key is that a layer of honey in the lid directly emerges from the inside, with an opening that is almost non-sticky, is this the case with foreign products?","From the outside of the packaging bag, the degree to which it is hard to feel is disturbing, after all, the food packaging is too simple, and yet belongs to international purchases, and there is no obvious anti-counterfeiting logo, opening the bottle is very easy, the key is that a layer of honey comes directly from the inside, there is an opening that is almost non-sticky, are foreign products like that?","The bottom corner of the bottle is dented, should have experienced a strong impact to cause, from the outer packaging bag, feel the degree of ravage is heart-wrenching, after all, is the food packaging is too simple, but also belongs to the international purchase, and did not see any obvious anti-counterfeiting logo, opening the bottle is very easy, the key is that a layer of honey in the lid comes out directly from the inside, there is an opening almost no adhesion, foreign products are like this?","The corner of the bottom of the bottle is severely dented, which should be caused by a strong impact. Judging from the outer packaging bag, the degree of ravages is worrying. After all, the food packaging is too simple, and it is still purchased internationally. Have you seen any obvious anti-counterfeiting signs? It is very easy to open the bottle. The key is that a layer of honey in the cap comes out directly. There is almost no adhesion when there is an opening. Are all foreign products like this?","The corner of the bottom of the bottle is severely depressed. It should have been caused by a strong impact. From the perspective of the outer packaging bag, the degree of damage is worrying. After all, the packaging of food is too simple, and it is still purchased internationally. I haven't seen any obvious anti-counterfeiting signs. It's very easy to open the bottle. The key is that the layer of honey inside the lid comes out directly from the inside, and there is almost no adhesion when there is an opening. Are foreign products like this?","Bottle of the bottom corner of the depression of the strong, should be experienced a strong impact to lead, from the outer packaging bag, feel the degree of devastation is heartbreaking, after all, food packaging is too simple, and still belongs to the international purchase, there is no obvious anti-counterfeiting logo, opening the bottle very easy, the key is a layer of honey inside the cover directly from the inside, there is almost no stickiness, foreign products are like this?","Bottle bottom corner of the depression of the great, should have experienced a strong impact in order to lead to, from the outside of the bag to see, feel the degree of ravaging people heartbreaking, after all, is the food packaging is too simple, and still belong to the international purchase, and did not see what obvious anti-counterfeiting logo signs, open the bottle is very easy, the key is to cover a layer of honey directly from the inside out of there, there is an opening is almost no adhesion! The key is that the layer of honey inside the cap comes out directly from the inside, and there is almost no adhesion to the opening.","The bottom of the bottle has a severe indentation, which must have been caused by a strong impact. Judging from the outer packaging, the extent of the damage is worrisome. After all, the food packaging is too simple, and it's also purchased internationally. I haven't seen any obvious anti-counterfeiting signs. The point is that the layer of honey inside the lid comes directly out of the inside, and the opening has almost no adhesiveness. Are all foreign products like this?","The bottle's bottom corner is substantially dented, which should be the result of a powerful hit, from the outer packaging bag, it is alarming to see the extent of the damage, after all, despite the food's overly basic packaging, it is nevertheless sold abroad, have you noticed any blatant counterfeit prevention signs? The bottle is really simple to open, the crucial feature is that the honey layer in the top spills out right away, when there is an opening, adhesion is essentially nonexistent, are all imported goods the same?","The bottom corner of the bottle is severely dented, which should have been caused by a strong impact. Looking at the outer packaging bag, the degree of damage is distressing, especially since it's food packaging and it's too simple. Moreover, it's an international purchase, and I didn't see any obvious anti-counterfeit labels. Opening the bottle was very easy, and the key point is that a layer of honey directly came out from inside the cap. There was almost no stickiness when opened, is this how all foreign products are?","The corner of the bottom of the bottle is severely dented, which should be caused by a strong impact. Judging from the outer packaging bag, the degree of ravages is worrying. After all, the food packaging is too simple, and it is still purchased internationally. Have you seen any obvious anti-counterfeiting signs? It is very easy to open the bottle. The key is that a layer of honey in the cap comes out directly. There is almost no adhesion when there is an opening. Are all foreign products like this?","The sharp dent in the bottom corner of the bottle should have been caused by a strong impact. From the outer packaging bag, the degree of ravage is worrying. After all, the food packaging is too simple, and it is still internationally purchased. I haven't seen any obvious anti-counterfeiting signs. It is very easy to open the bottle. The key is that a layer of honey in the lid comes out directly from inside. There is almost no adhesion when there is an opening. Are all foreign products like this?"
