id,Target_Index,GPT4-5shot,GTCOM_Peter,Lan-BridgeMT,NLLB_Greedy,NLLB_MBR_BLEU,ONLINE-A,ONLINE-B,ONLINE-G,ONLINE-Y,refA,refB,Samsung_Research_Philippines,UvA-LTL,ZengHuiMT
21,224,You may be entitled to receive a substantial amount through a simple process.,You may be entitled to receive a substantial amount in a simple procedure •,You may be entitled to a non-cancellable amount in a simple procedure,You may be entitled to a lump sum in a simple procedure.,You may be entitled to a lump sum in a simple procedure •,You may be entitled to receive a considerable amount in a simple procedure •,You may be entitled to receive a significant amount in a simple procedure •,You may be entitled to a substantial amount in a simple procedure •,You may be entitled to receive a considerable amount in a simple procedure •,You may be entitled to receive a significant amount following a simple procedure •,You may be entitled to receive a significant amount through a simple process.,You may be entitled to a substantial amount of money in a simple procedure.,You may be entitled to an undisclosed amount in a simple procedure,You may be entitled to receive a considerable amount in a simple procedure.
22,1326,"Musk is waiting for Trump's return: ""It was not right to block him.""","Musk awaits Trump's return: ""It wasn't right to block him""","Musk waits for Trump's return: ""It was wrong to block him""","Musk awaits Trump's return: ""It was wrong to block him""","Musk awaits Trump's return: ""It was not right to block him""",Musk waits for Trump's return: 'It wasn't right to block him',"Musk is waiting for Trump's return: ""It was wrong to block him""",Musk on Trump's return: 'It wasn't right to block him',Musk awaits Trump's return: 'It wasn't right to block him',Musk is waiting for Trump’s return: “It was wrong to block him”,"Musk is waiting for Trump's return: ""It was not right to ban him"".",Musk awaits Trump's return:'It wasn't right to block him',"Musk is waiting for Trump to return: ""It was wrong to block him""",Musk is waiting for Trump to return: “ It wasn't right to block him.”
23,740,It should be emphasized that not every mistake in treatment by the medical team amounts to negligence (in the legal sense of the term) and that various complications during childbirth do not necessarily indicate that it was negligently managed.,It should be emphasized that not every mistake in treatment by the medical staff amounts to negligence (in the legal sense of this term) and that various complications during childbirth do not necessarily indicate that its management was negligent.,It should be emphasized that not every medical error amounts to negligence (in the legal sense of the term) and that various complications during childbirth do not necessarily teach that the treatment was negligent.,It should be emphasized that not every error in treatment by the medical staff amounts to negligence (in the legal sense of this term) and that various complications during childbirth do not necessarily teach that the handling was negligent.,It should be stressed that not every error in care on the part of the medical staff amounts to negligence (in the legal sense of this term) and that various complications during childbirth do not necessarily teach that its management was negligent.,It should be emphasized that not every mistake in treatment on the part of the medical staff amounts to negligence (in the legal sense of this term) and that various complications during labor do not necessarily indicate that its management was negligent.,It must be emphasized that not every error in treatment by the medical staff amounts to negligence (in the legal sense of this term) and that various complications during childbirth do not necessarily indicate that the management was negligent.,It should be emphasized that not every error in care on the part of the medical staff amounts to negligence (in the legal sense of this term) and that various complications during the birth do not necessarily indicate that her management was negligent.,It should be emphasized that not every error in treatment on the part of the medical staff arises to negligence (in the legal sense of this term) and that various complications during childbirth do not necessarily indicate that its management was negligent.,It must be emphasized that not every error in treatment by the medical staff amounts to negligence (in the legal sense of this term) and that various complications during childbirth do not necessarily indicate that its management was negligent.,"It is important to emphasize that not every error in medical treatment by the medical team constitutes medical negligence (in the legal sense of the term), and various complications during childbirth do not necessarily indicate that the management was negligent.",It should be emphasized that not every mistake in medical care is negligent (in the legal sense of this term).,It should be emphasized that not every mistake in treatment on the part of the medical staff amounts to negligence (in the legal sense of this term) and that various complications during childbirth do not necessarily indicate that management was negligent.,It should be emphasized that not every error in treatment on the part of the medical staff amounts to negligence ( in the legal sense of this term) and that various complications during childbirth do not necessarily indicate that its management was negligent.
24,359,"Bibi participated in the last season of ""X Factor"" and finished in third place.",Bibi participated in the last season of The X Factor and finished in third place.,Bibi competed in the final season of The X Factor and finished in third place.,Bibi competed in the final season of The X Factor and finished in third place.,Bibi participated in the last season of The X Factor and finished in third place.,Bibi participated in the last season of The X Factor and finished in third place •,"Bibi participated in the last season of ""X Factor"" and finished in third place •",Bibi participated in the final season of The X Factor and finished in third place •,"Bibi took part in the last season of “X Factor"" and finished third.",Bibi participated in the last season of ״X Factor״ and finished in third place •,"Bibi participated in the last season of ""X Factor"" and finished in third place",Bebe participated in the final season of The X Factor and finished in third place.,Bibi participated in the last season of The X Factor and finished in third place.,"Bibi participated in the last season of ""X Factor"" and finished in third place."
25,716,Following the increase in hospitalizations: Hadassah is preparing to open a third Corona department.,Following the large number of hospitalized: Hadassah is preparing to open a third corona ward,"Due to the overcrowding in Hodeidah, preparations are underway to open a third Corona ward.","Following the increase in the number of patients, Hadassah is preparing to open a third Corona ward.","Following the inflow, Hades is preparing to open a third Corona ward.",Due to the large number of hospitalized patients: Hadassah is preparing to open a third coronavirus ward,Due to the large number of hospitalized people: Hadassah is preparing to open a third corona ward,Following the increase in hospitalizations: Hadassah is preparing for the opening of a third Corona Ward,Following the multiplicity of those hospitalized: Hadassah is preparing for the opening of a third coronavirus department,Due to the large number of hospitalized people: Hadassah is preparing to open a third Corona-virus ward,"Due to the increase in hospitalized patients: At Hadassah, preparations are underway for the opening of a third COVID-19 department",COVID-19 hospitalizations: Hadassah prepares to open third coronavirus ward,Following the multitude of hospitalized patients: Hadassah prepares to open a third coronavirus ward,Due to the large number of hospitalized patients: Hadassah is preparing to open a third Corona department.
26,1619,Looking forward with great anticipation to her performances.,Looking forward to her shows.,Looking forward to her performances.,Looking forward to her performances.,Looking forward to her performances,Waiting with great anticipation for her performances,Looking forward to her performances,Looking forward to her performances.,Waiting with great viewing for her performances,Looking forward to her shows,Looking forward to her performances with great anticipation.,Looking forward to watching her shows.,Looking forward to her shows.,Looking forward to her performances.
27,415,The first is ARTISTA - an exhibition of illuminated displays in the public space (design: Philip Blau) with other galactic figures that will circulate among the visitors within a structure and present a whole adventure in light and also at night.,The first is ARTISTA - an exhibition of illuminated performances in the public space (design: Philippe Blau) with figures from other galaxies that will rotate among visitors inside a building and present a complete adventure in both light and night.,The first is ARTISTA - an exhibition of illuminated public space displays (designed by Philip Blow) with figures from other galaxies that will walk among visitors inside a structure and present the entire adventure in the light as well as at night.,The first is ARTISTA - an exhibition of illuminated public space displays (designed by Philippe Blau) with other galactic figures that will move among visitors inside a structure and present an entire adventure in light and at night.,The first is ARTISTA - an exhibition of illuminated representations in public space (designed by Philippe Blau) with other galactic figures that will move among visitors inside a structure and present an entire adventure in both light and night.,The first is ARTISTA - an exhibition of illuminated exhibits in the public space (Design: Philippe Blau) with figures from other galaxies who will walk among visitors inside a building and present an entire adventure in both light and night.,The first is ARTISTA - an exhibition of lighted performances in the public space (design: Philippe Blaau) with characters from other galaxies that will circulate among the visitors inside a building and present a complete adventure in light and at night.,The first is ARTISTA - an exhibition of illuminated installations in the public space (design: Philippe Blau) with figures from other galaxies that will rotate among the visitors inside a structure and present an entire adventure in light as well as at night.,The first is ARTISTA - an exhibition of illuminated exhibits in public space (design: Philip Blau) with figures from other galaxies that will circulate among visitors within a structure and present a complete adventure in both light and night.,The first is ARTISTA—an exhibition of lighted performances in the public common spaces (design: Philip Blau) with characters from other galaxies that will mingle among the visitors inside a building and present a complete adventure in light and at night.,The first one is ARTISTA - an illuminated exhibition in the public space (design: Philippe Blau) along with other galactic characters who will roam among the visitors within a building and present a complete adventure in both daylight and at night.,"The first is ARTISTA, an exhibition of illuminated displays in public space with characters from other galaxies.",The first is Artista - an exhibition of illuminated displays in the public space (design: Philippe Blau) with figures from other galaxies that will walk among the visitors inside a building and present a complete adventure in light and at night.,The first is ARTISTA  an exhibition of illuminated exhibits in public space ( design: Philip Blau) with characters from other galaxies who will walk among visitors indoors and present a complete adventure in both light and night and present a complete adventure in the light and night as well.
28,1642,Why is he appearing on a news site??,Why is it on a news site?,Why is he on the news site? - What?,Why is he on a news site?,Why is he on a news site?,Why does it appear on a news site?,Why does he appear on a news site??,Why is it on a news site??,Why is he on a news site??,Why does he appear on a news site??,Why is he appearing on a news website??,Why is he on a news site??,Why is it on a news site?,Why does it appear on a news site?
29,1692,We need more strong Israelis on the team.,We need more strong Israelis in the squad.,We need more strong Israelis on staff.,We need more strong Israelis on staff.,We need more strong Israelis on staff.,We need more strong Israelis in the squad.,We need more strong Israelis on the staff.,We need more Israelis on the roster.,We need more powerful Israelis on the roster.,We need more strong Israelis on the staff.,We need more strong Israelis in the squad.,We need more strong Israelis in the squad.,We need more Israelis in the squad.,We need more powerful Israelis on the roster.
30,1636,It's a shame he didn't participate in Eurovision.,It's a shame he didn't participate in Eurovision,It's a shame he didn't audition.,It's a pity he didn't participate in the Eurovision.,It's a pity he didn't take part in the Eurovision.,Too bad he didn't participate in Eurovision,It's a shame he didn't participate in Eurovision,I wish he had participated in Eurovision.,Too bad he didn't participate in Eurovision,It’s a shame he didn’t participate in the Eurovision contest,It's a shame he didn't participate in Eurovision,Shame he didn't attend the Eurovision Song Contest,Pity he didn't participate in Eurovision,It's a pity he didn't participate in Eurovision.
31,1554,"It's important to remember that there are a limited number of tickets (about 4,000) and the price does not include luggage and seat selection.","It is important to remember that this is a limited number of tickets (about 4,000) and the price does not include baggage and seat selection.","It is important to note that this is a limited number of tickets (approximately 4,000) and the price does not include honor and seat selection.","It's important to remember that this is a limited number of tickets (about 4,000) and the price does not include the honorarium and the choice of seat.","It is important to remember that this is a limited number of tickets (some 4,000) and the price does not include a seat.","It is important to remember that this is a limited number of tickets (about 4,000) and the price does not include baggage and seat selection.","It is important to remember that this is a limited number of tickets (about 4,000) and the price does not include baggage and seat selection.","It is important to remember that there is a limited number of tickets (approximately 4,000) and the price does not include baggage and seat selection.","It is important to remember that this is a limited number of tickets (about 4,000) and the price does not include baggage and seat selection.","It is important to remember that only a limited number of tickets (about 4,000) are offered and the price will not include baggage and seat selection.","It's important to note that this offer has limited availability (approximately 4,000 tickets) and does not include baggage and seat selection.","Please note that this is a limited number of tickets (approximately 4,000) and the price does not include baggage and seat selection.","It is important to remember that this is a limited number of tickets (about 4,000) and the price does not include baggage and seat selection.","It is important to remember that this is a limited number of tickets ( about 4, 000) and the price does not include baggage and seat selection."
32,3,Three Asian cheetah cubs were recently born in the Islamic Republic of Iran.,Three Asian cheetah cubs recently emerged into the world's air in the Islamic Republic of Iran.,Three young Asiatic bridles have recently been released into the air in the Islamic Republic of Iran.,Three Asian birdbaths were recently born in the Islamic Republic of Iran.,Three Asian birdel puppies were recently born in the Islamic Republic of Iran.,Three Asian cheetah cubs recently emerged in the Islamic Republic of Iran.,Three Asiatic cheetah cubs recently emerged into the world in the Islamic Republic of Iran.,Three Asian cheetah cubs have recently surfaced in the Islamic Republic of Iran.,Three Asian cheetah cubs recently emerged into the world's air in the Islamic Republic of Iran.,Three Asiatic cheetah cubs recently emerged into the world in the Islamic Republic of Iran.,Three Asiatic cheetah cubs recently appeared into the world in the Islamic Republic of Iran.,Three Asian cheetah cubs recently emerged into the world's air in the Islamic Republic of Iran.,Three Asian cheetah cubs have recently emerged from the Islamic Republic of Iran.,Three Asian cheetah cubs recently emerged in the Islamic Republic of Iran.
33,1712,In the picture is not Federman.,Pictured is not Federman.,The picture is not Federman.,That's not Pederman.,It's not Pederman.,Not Federman in the picture.,Not Federman in the picture.,Pictured no.,Pictured not Federman.,Federman is not relevant.,In the picture it’s not Federman.,Not in the picture Federmann.,The picture's not Federman.,Not Federman in the picture.
34,1402,Thousands were affected: Serious privacy breach on Highway 6.,Thousands injured: Serious privacy omission on Highway 6,Serious privacy breach on Route 6,Thousands affected: A serious privacy violation on Highway 6,Thousands were affected: A serious privacy violation on Highway 6,Thousands affected: Serious privacy lapse on Highway 6,Thousands were injured: a serious breach of privacy on Route 6,Thousands hurt: Severe privacy outage on Route 6,Thousands hurt: Severe privacy default on Route 6,Thousands were injured: a serious breach of privacy on Route 6,Thousands were affected: Severe privacy breach on Route 6,Thousands hurt as privacy defaults severely on Highway 6,Thousands injured in serious privacy failure on Route 6,Thousands were affected: Serious privacy default on Route 6
35,1684,Maccabi is missing a star.,Missing out on stardom,Missing the starbucks,Missing from the Stargate,Star ships are missing,Maccabi lacks a star,Maccabi lacks a star,Missing a Star,Missing Maccabi Star,Maccabi lacks a star,Maccabi lacks a star,Missing a star.,Missing a star.,Maccabi lacks a star.
36,1828,The number of confirmed cases increasing does not mean that the number of sick people is increasing.,The number of confirmed rises does not mean the number of patients is rising,The number of confirmed cases is going up. It doesn't mean the number of patients is going up.,The number of confirmed cases is increasing.,The number of confirmed cases is increasing. It doesn't mean that the number of patients is increasing.,The number of confirmed cases does not mean that the number of patients is rising,The number of confirmed cases increases does not mean that the number of patients increases,Rising number of confirmed doesn't mean number of patients is rising,Number of verified rises does not mean the number of patients is rising,If the number of confirmed cases increases it does not mean that the number of patients increases,The number of confirmed cases increasing doesn't necessarily mean the number of patients is rising.,The number of confirmed cases is rising doesn't mean the number of patients is rising.,The number of verifications does not mean that the number of patients increases,The number of confirmed cases does not mean that the number of patients is rising.
37,130,The analysts' estimates talk about an increase rate ranging between 0.25% to 0.5%.,Analysts' estimates speak of a rate of increase ranging from 0.25% to 0.5%.,Analysts estimate the rate of increase to be between 0.25% and 0.5%.,Analyst estimates speak of a rate of increase ranging from 0.25% to 0.5%.,Analyst estimates speak of a rate of increase ranging from 0.25% to 0.5%.,Analysts' estimates call for an increase rate ranging from 0.25% to 0.5%.,The analysts' estimates speak of an increase rate ranging from 0.25% to 0.5%.,Analysts ' estimates range from 0.25 percent to 0.5 percent.,Analysts' estimates speak of a raise rate ranging from 0.25% to 0.5%.,The analysts’ estimates mention an increase rate ranging from 0.25% to 0.5%.,Analysts' estimates suggest an increase rate ranging from 0.25% to 0.5%.,Analysts' estimates speak of a rate of increase ranging from 0.25% to 0.5%.,Analysts estimate an increase of 0.25% to 0.5%.,Analysts' estimates speak of an increase rate ranging from 0 to 0. 25% for 0. 5% is.
38,220,"Many renters receive money from the state, which can amount to tens of thousands of shekels.","Many employees deserve money from the state, which can reach tens of thousands of shekels.","Many renters receive money from the state, which can reach tens of thousands of dollars.","Many tenants receive money from the state, which can reach tens of thousands of shekels","Many tenants receive money from the state, which can reach tens of thousands of shekels","Many employees deserve money from the state, which can reach tens of thousands of shekels •","Many employees receive money from the state, which can reach tens of thousands of shekels •","Many employees deserve money from the state, which can reach tens of thousands of shekels •","Many employees deserve money from the state, which can reach tens of thousands of shekels.","Many employees are entitled to receive funds from the state, that can reach tens of thousands of NIS •","Many employees are entitled to receive money from the government, which could amount to tens of thousands of shekels.","Many employees deserve money from the state, which can amount to tens of thousands of shekels.","Many employees deserve money from the state, which can reach tens of thousands of shekels","Many employees deserve money from the state, which can reach tens of thousands of shekels."
39,1346,"The estimates regarding the amount of money demanded by the attacker suggest that it started in the thousands of dollars and as the clock ticked, it increased and before the information was published, it had already reached several million dollars.","Estimates of the amount of money demanded by the attacker are that it began in the thousands of dollars and as the clock ticked, it rose and before the information was published it had already reached several million dollars.","Estimates of the amount of money the attacker demanded are that it started in the thousands of dollars and as the clock ticked, it went up and before the information was released it was already in the millions of dollars.","Estimates of the amount of money the attacker demanded are that it started at thousands of dollars and as the clock ticked, it went up and before the information was published it had already reached several million dollars.","Estimates of the amount of money demanded by the attacker are that it began in the thousands of dollars and as the clock ticked upward, it reached millions of dollars before the information was released.","Estimates of the amount of money demanded by the attacker are that it began at thousands of dollars, and as the clock ticked, it increased, and before the information was published, it had already reached several million dollars.","The estimates regarding the amount of money that the attacker demanded are that it is an amount that started in the thousands of dollars and as the clock ticked, it increased and before the information was published it had already reached several million dollars.","Estimates of the amount of money demanded by the attacker are that it began in the thousands of dollars and as the clock ticked, it went up and before the information was published it had already reached several million dollars.","Estimates of the amount of money demanded by the attacker are that it was an amount that started in thousands of dollars and as the clock lifted, it rose and before the information was published it had already reached several million dollars.","The estimated amount of money that the hacker demanded is unclear since the amount started in the thousands of dollars and as the clock ticked, it increased, so just before the information was published it had already reached several million of dollars.","Estimates suggest the ransom initially started in the thousands of dollars and increased significantly before the information was released, reaching several million dollars.","Estimates of the money demanded by the attacker are thousands of dollars, and as the watch went up, it was already several million dollars.","Estimates of the amount of money demanded by the assailant are that it began with thousands of dollars and as the clock went up, it went up and before the information was published it had already reached several million dollars.","Estimates of the amount of money demanded by the attacker are that it was an amount that started in the thousands of dollars and as the clock ticked, it increased and before the information was published it had already reached several million dollars."
40,1455,"Lufthansa Group (Swiss, Austrian and Lufthansa) - The light ticket includes hand luggage only, if you want to add a suitcase, you will need to do it seven days in advance through the website at a cost of 70 dollars per direction, over the phone it will cost you 80 dollars and at the airport 100 dollars.","Lufthansa Group (Swiss, Austrian and Lufthansa) - The flight ticket includes hand luggage only, if you want to add a suitcase, you will have to do it seven days in advance through the website at a cost of $70 per direction, by phone it will cost you $80 and at the airport $100.","Lufthansa Group (Swiss, Austrian and Lufthansa) ✓ The light ticket includes only hand luggage, if you want to add luggage, you have to do it seven days in advance via the $70 one-way website, on the phone it will cost you $80 and at the airport $100.","Lufthansa Group (Swiss, Austrian and Lufthansa)  The light ticket includes hand luggage only, if you want to add a suitcase, you have to do it seven days in advance via the website at a cost of 70 dollars one way, on the phone it will cost you 80 dollars and at the airport 100 dollars.","Lufthansa Group (Swiss, Austrian, and Lufthansa)  A light ticket includes hand luggage only, if you want to add a suitcase, you have to do so seven days in advance via the website for 70 dollars one-way, it will cost you 80 dollars by phone and 100 dollars at the airport.","Lufthansa Group (Swiss, Austrian and Lufthansa) – the Light ticket includes hand luggage only, if you want to add a suitcase, you will have to do it seven days in advance through the website at a cost of $ 70 per way, by phone it will cost you $ 80 and at the airport $ 100.","Lufthansa Group (Swiss, Austrian and Lufthansa) - the Lite ticket includes hand luggage only, if you want to add a suitcase, you will have to do it seven days in advance through the website at a cost of 70 dollars one way, by phone it will cost you 80 dollars and at the airport 100 dollars.","Lufthansa Group (Swiss, Austrian and Lufthansa) - The LITE ticket includes hand baggage only, if you want to add a suitcase, you'll have to do it seven days in advance through the website at a cost of 7 70 per direction, on the phone it will cost you 8 80 and at the airport דולרים 100.","Lufthansa Group (Suisse, Austrian and Lufthansa) — The Lite ticket includes hand luggage only, if you want to add a suitcase, you will have to do it seven days in advance through the website at a cost of 70 dollars per way, by phone it will cost you 80 dollars and at the airport 100 dollars.","Lufthansa Group (Swiss, Austrian and Lufthansa)—the Lite ticket includes hand luggage only, if you want to add a suitcase, you will have to do it seven days in advance through the website at a cost of 70 dollars one way, by phone it will cost you 80 dollars and at the airport 100 dollars.","Lufthansa Group (Swiss, Austrian, and Lufthansa) - The Light ticket includes hand luggage only, if you want to add a suitcase, you will need to do so seven days in advance through the website, at a cost of $70 each way, by phone it will cost you $80, and at the airport, it will be $100.","Lufthansa Group includes hand luggage only, if you want to add a suitcase, you have to do it seven days in advance at the airport.","Lufthansa Group (Swiss, Austrian and Lufthansa) - The Lite card includes hand luggage only, if you want to add a suitcase, you will have to do it seven days in advance through the site at a cost of 70 dollars per direction, on this phone will cost you 80 dollars and at the airport 100 dollars.","Lufthansa Group ( Suisse, Austrian and Lufthansa)  The light ticket includes hand luggage only, if you want to add a suitcase, you will have to do it seven days in advance through the website at a cost of $70 per direction, by phone it will cost you $80 and at the airport $100."
41,1077,The popular terror focuses on harming civilians and its goal is to undermine the sense of security needed for the proper conduct of civilian population's life.,Popular terrorism focuses on harming civilians and aims to undermine the sense of security necessary to lead a normal life of a civilian population.,Popular terrorism focuses on targeting civilians and aims to undermine the sense of security necessary to lead a normal civilian life.,Popular terrorism focuses on the harm to civilians and aims to undermine the sense of security necessary for the normal conduct of civilian life.,Popular terrorism focuses on civilian harm and aims to undermine the sense of security necessary for the normal life of a civilian population.,Popular terrorism focuses on harming civilians and aims to undermine the sense of security necessary for the normal life of the civilian population.,Popular terrorism focuses on harming civilians and aims to undermine the sense of security necessary to lead a normal life of a civilian population.,Popular terrorism focuses on harming civilians and aims to undermine the sense of security needed to lead a normal life of a civilian population.,Popular terrorism focuses on harming civilians and aims to undermine the sense of security needed to lead a normal life of a civilian population.,Popular terrorism focuses on harming civilians and aims to undermine the sense of security vital to leading a normal life of a civilian population.,"The grassroots terror focuses on targeting civilians, aiming to disrupt the necessary sense of security required for the normal functioning of a civilian population.",Popular terrorism focuses on harming civilians and aims to undermine the sense of security needed to lead a normal life of a civilian population.,Popular terrorism focuses on harming civilians and its goal is to undermine the sense of security needed to manage the normal life of the civilian population.,Popular terrorism focuses on harming civilians and aims to undermine the sense of security necessary to lead a normal life of a civilian population.
42,387,"""When we started we were overwhelmed, a lot was happening in our lives and it was impossible to simply confine everything into a narrative of beginning, middle, and end.","""When we started, we were terrified, a lot happens to us in life and it is impossible to confine everything simply to a narrative of beginning, middle and end.","""When we first started, we were scared, a lot happens to us in life, and we can't simply fit everything into a narrative of beginning, middle and end.","""When we started, we were terrified, ""there's a lot going on in our lives, ""and you can't just wrap everything up in a narrative of beginning, middle and end.","""When we started, we were terrified that there's so much going on in our lives, you can't just pin everything down to a narrative of beginning, middle and end.","""When we started we were scared, a lot happens to us in life and you can't simply delimit everything to a narrative of beginning, middle and end.","""When we started we were scared, a lot happens to us in life and you can't simply limit everything to a narrative of beginning, middle and end.","""When we started we were terrified, a lot happens to us in life and it is impossible to simply frame everything into a narrative of beginning, middle and end.","“When we started, we were terrified, a lot was happening to us in life and it is impossible to simply delimit everything into a narrative of beginning, middle and end.","""When we started we were terrified, a lot is happening to us in life and you can’t simply limit everything to a narrative of beginning, middle and end.","""When we started, we were overwhelmed, a lot was happening in our lives, and it's impossible to condense everything into a simple beginning, middle, and end narrative,"" she says.","""When we started we were terrified, a lot happens to us in life and you can't just confine everything to a narrative of beginning, middle.","""When we started we were terrified, a lot happens to us in life and it is impossible to confine everything simply to the narrative of beginning, middle and end.","“ When we started we were terrified, a lot happens to us in life and it is impossible to simply delimit everything to a narrative of beginning, middle and end."
43,1716,And a significant and necessary reinforcement of the center and guard.,And disciplinary and required strengthening of coordinator and guard,And the necessary disciplinary reinforcement of center and guard,And the required disciplinary reinforcement of the center and guard,And discipline and required strengthening of center and guard.,and disciplinary and required reinforcement of the guard coordinator,and disciplinary and required strengthening of a coordinator and guard,And required disciplinary strengthening of a point guard and guard,and Disciplinary and Required Strengthening of the Vagarde Coordinator,and a significant and necessary strengthening of the center and guard,And a required and disciplined reinforcement by a coordinator and guard...,And disciplinary reinforcement and required of a coordinator and guard.,and required disciplinary reinforcement of a point guard,and disciplinary and required reinforcement of the coordinator and guard.
44,1653,Clinical optometrist?!,A clinical optometrist?!,"What are you, a clinical optometrist? - What?",Clinical optometrist? What are you doing?,"What are you, a clinical optometrist?",Clinical optometrist?!,A clinical optometrist?!,Clinical optometrist?!,Clinical optometrist?!,A clinical optometrist?!,A clinical Optometrist?!,Clinical Optometrist?!,A clinical optometrist?,Clinical optometrist.
45,642,That's why we are here.,That's what we're here for.,That's what we're here for.,That's what we're here for.,That's what we're here for.,That's what we're here for.,That's what we're here for.,That's what we're here for.,That's what we're here for.,That’s what we’re here for.,"For this purpose, we are here for you.",That's what we're here for.,That's what we're here for.,That's what we're here for.
46,1427,Free tours at the locations of the most popular series on the streaming service.,Free tours of the locations of the streaming service's most popular series.,Free location tours of the streaming service's most popular shows.,Free tours of the streaming service's most popular series locations.,Free guided tours of the streaming service's most popular series.,Free tours of the streaming service's most popular shows.,Free tours of the locations of the streaming service's most popular series.,Free tours of locations of the streaming service's most popular series.,Free tours of the locations of the most popular series of the streaming service.,Free tours of locations of the streaming service’s most popular series.,Free tours in the locations of the most popular streaming service series.,Free tours of locations of the streaming service's most popular series.,Free location tours of the streaming service's most popular series.,Free tours of the locations of the most popular streaming service series.
47,644,"Let's wish everyone to be positive in life and negative in the Corona tests - and of course, complete recovery and lots of health.",We wish everyone to be positive in life and negative in the coronavirus tests - and of course complete medicine and lots of health.,"Let's wish everyone positive in life and negative in coronavirus testing - and of course, good health and plenty of health.",We wish everyone to be positive in life and negative in coronavirus tests - and of course full medicine and lots of health.,We wish everyone to be positive in life and negative in corona tests - and of course whole medicine and plenty of health.,We wish everyone to be positive in life and negative in the coronavirus tests - and of course whole medicine and lots of health.,We wish everyone to be positive in life and negative in the corona tests - and of course complete healing and lots of health.,We wish everyone positive in life and negative in the coronavirus tests - and of course a full recovery and lots of health.,We wish everyone to be positive in life and negative on the coronavirus tests - and of course complete medicine and lots of health.,"We wish everyone to be positive in life and negative in the Corona Virus tests—and of course, perfect healing and good health.","We wish everyone to be positive in life and negative in COVID-19 tests - and of course, complete healing and a lot of good health.","We wish everyone to be positive in life and negative in coronavirus tests - and, of course, a whole lot of health and wellness.",We wish everyone to be positive in life and negative in COVID-19 testing - and of course complete medicine and lots of health.,We wish everyone to be positive in life and negative in coronavirus tests - and of course complete medicine and lots of health.
48,1621,You are a world champion!,You are a world champion!,You're the world champion!,You're the champion of the world!,You're the champion of the world!,World champion you !,You are a world champion!,You're a world champion !,You are a world champion!,You are a world champion!,World champion you are!,You're a world champion!,You're a world champion!,You are a world champion
49,1793,And you will travel by train to the field.,And you sued on the train to the field,And you're suing the train to the field.,And you sued the train to the field,And you sued the train to the field,And you sued on the train to the field,And you claimed by train to the field,And you sued by train to the field,And you sued by train to field,And you will travel by train to the airport.,And come by train to the airport,And you sued on the train to the airport.,You took the train to the field.,And you claimed by train to the field.
50,1518,"Anyone who is not defined as vaccinated or recovered will still be required to enter seven days of isolation subject to two corona tests, or 14 days without the second test, whether returning from an orange country or a red country.","Those who are not defined as vaccinated or recovered will nevertheless be required to enter seven days of isolation subject to two corona tests, or 14 days without the second test, both if returning from an orange country and if returning from a red country.","Anyone who is not defined as vaccinated or recovering will still be required to enter a seven-day quarantine period subject to two coronavirus tests, or 14 days without the second test, even if they returned from an orange country and if they returned from a red country.","Anyone not determined to be immunized or cured will still be required to enter a seven-day quarantine subject to two coronavirus tests, or 14 days without the second test, whether returning from an orange country or returning from a red country.","Anyone not classified as being immunized or recovered will still be required to go to seven days of isolation subject to two coronavirus tests, or 14 days without the second test, whether returning from an orange country or returning from a red country.","Those who are not defined as vaccinated or recovered will still be required to quarantine for seven days subject to two COVID-19 tests, or 14 days without the second test, even if they returned from an orange country or if they returned from a red state.","Those who are not defined as vaccinated or recovering will still be required to enter seven days of isolation subject to two corona tests, or 14 days without the second test, even if they returned from an orange country and if they returned from a red country.","Those who are not vaccinated or recovering will nevertheless be required to enter seven days of isolation subject to two coronavirus tests, or 14 days without the second test, whether they have returned from an orange or red country.","Those who are not defined as vaccinated or recovering will nevertheless be required to enter seven days of isolation subject to two coronavirus tests, or 14 days without the second test, even if returned from an orange state and if returned from a red state.","Those who are not defined as vaccinated or recovering will still be required to enter seven days of isolation subject to two corona tests, or 14 days without the second test, even if they returned from an orange country and if they returned from a red country.","Those not defined as vaccinated or recovered will still be required to enter a seven-day quarantine, subject to two coronavirus tests, or 14 days without the second test, even if they return from an orange country or a red country.",Those who are not vaccinated will still be required to quarantine for seven days subject to two coronavirus tests or 14 days,"A person who is not vaccinated or recovering will nevertheless be required to enter seven days of isolation subject to two coronavirus tests, or 14 days without the second test, even if he returned from an orange country and even if he returned from a red country.","Those who are not defined as vaccinated or recovering will still be required to enter seven days of isolation subject to two COVID-19 tests, or 14 days without the second test, even if they returned from an orange country and if they returned from a red country."
